zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
Africa/Abidjan,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Accra,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Addis_Ababa,10800,UTC+03:00,EAT,East Africa Time
Africa/Algiers,3600,UTC+01:00,CET,Central European Time
Africa/Asmara,10800,UTC+03:00,EAT,East Africa Time
Africa/Bamako,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Bangui,3600,UTC+01:00,WAT,West Africa Time
Africa/Banjul,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Bissau,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Blantyre,7200,UTC+02:00,CAT,Central Africa Time
Africa/Brazzaville,3600,UTC+01:00,WAT,West Africa Time
Africa/Bujumbura,7200,UTC+02:00,CAT,Central Africa Time
Africa/Cairo,7200,UTC+02:00,EET,Eastern European Time
Africa/Casablanca,3600,UTC+01:00,WEST,Western European Summer Time
Africa/Ceuta,3600,UTC+01:00,CET,Central European Time
Africa/Conakry,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Dakar,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Dar_es_Salaam,10800,UTC+03:00,EAT,East Africa Time
Africa/Djibouti,10800,UTC+03:00,EAT,East Africa Time
Africa/Douala,3600,UTC+01:00,WAT,West Africa Time
Africa/El_Aaiun,3600,UTC+01:00,WEST,Western European Summer Time
Africa/Freetown,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Gaborone,7200,UTC+02:00,CAT,Central Africa Time
Africa/Harare,7200,UTC+02:00,CAT,Central Africa Time
Africa/Johannesburg,7200,UTC+02:00,SAST,South African Standard Time
Africa/Juba,10800,UTC+03:00,EAT,East Africa Time
Africa/Kampala,10800,UTC+03:00,EAT,East Africa Time
Africa/Khartoum,7200,UTC+02:00,EAT,Eastern African Time
Africa/Kigali,7200,UTC+02:00,CAT,Central Africa Time
Africa/Kinshasa,3600,UTC+01:00,WAT,West Africa Time
Africa/Lagos,3600,UTC+01:00,WAT,West Africa Time
Africa/Libreville,3600,UTC+01:00,WAT,West Africa Time
Africa/Lome,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Luanda,3600,UTC+01:00,WAT,West Africa Time
Africa/Lubumbashi,7200,UTC+02:00,CAT,Central Africa Time
Africa/Lusaka,7200,UTC+02:00,CAT,Central Africa Time
Africa/Malabo,3600,UTC+01:00,WAT,West Africa Time
Africa/Maputo,7200,UTC+02:00,CAT,Central Africa Time
Africa/Maseru,7200,UTC+02:00,SAST,South African Standard Time
Africa/Mbabane,7200,UTC+02:00,SAST,South African Standard Time
Africa/Mogadishu,10800,UTC+03:00,EAT,East Africa Time
Africa/Monrovia,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Nairobi,10800,UTC+03:00,EAT,East Africa Time
Africa/Ndjamena,3600,UTC+01:00,WAT,West Africa Time
Africa/Niamey,3600,UTC+01:00,WAT,West Africa Time
Africa/Nouakchott,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Ouagadougou,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Porto-Novo,3600,UTC+01:00,WAT,West Africa Time
Africa/Sao_Tome,0,UTC+00:00,GMT,Greenwich Mean Time
Africa/Tripoli,7200,UTC+02:00,EET,Eastern European Time
Africa/Tunis,3600,UTC+01:00,CET,Central European Time
Africa/Windhoek,7200,UTC+02:00,WAST,West Africa Summer Time
America/Adak,-36000,UTC-10:00,HST,Hawaii\u2013Aleutian Standard Time
America/Anchorage,-32400,UTC-09:00,AKST,Alaska Standard Time
America/Anguilla,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Antigua,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Araguaina,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Argentina/Buenos_Aires,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Catamarca,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Cordoba,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Jujuy,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/La_Rioja,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Mendoza,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Rio_Gallegos,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Salta,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/San_Juan,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/San_Luis,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Tucuman,-10800,UTC-03:00,ART,Argentina Time
America/Argentina/Ushuaia,-10800,UTC-03:00,ART,Argentina Time
America/Aruba,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Asuncion,-10800,UTC-03:00,PYST,Paraguay Summer Time
America/Atikokan,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Bahia,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Bahia_Banderas,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Barbados,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Belem,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Belize,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Blanc-Sablon,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Boa_Vista,-14400,UTC-04:00,AMT,Amazon Time (Brazil)
America/Bogota,-18000,UTC-05:00,COT,Colombia Time
America/Boise,-25200,UTC-07:00,MST,Mountain Standard Time (North America
America/Cambridge_Bay,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Campo_Grande,-14400,UTC-04:00,AMT,Amazon Time (Brazil)
America/Cancun,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Caracas,-14400,UTC-04:00,VET,Venezuelan Standard Time
America/Cayenne,-10800,UTC-03:00,GFT,French Guiana Time
America/Cayman,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Chicago,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Chihuahua,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Costa_Rica,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Creston,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Cuiaba,-14400,UTC-04:00,BRT,Brasilia Time
America/Curacao,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Danmarkshavn,0,UTC+00:00,GMT,Greenwich Mean Time
America/Dawson,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Dawson_Creek,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Denver,-25200,UTC-07:00,MST,Mountain Standard Time (North America
America/Detroit,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Dominica,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Edmonton,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Eirunepe,-18000,UTC-05:00,ACT,Acre Time
America/El_Salvador,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Fort_Nelson,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Fortaleza,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Glace_Bay,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Goose_Bay,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Grand_Turk,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Grenada,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Guadeloupe,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Guatemala,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Guayaquil,-18000,UTC-05:00,ECT,Ecuador Time
America/Guyana,-14400,UTC-04:00,GYT,Guyana Time
America/Halifax,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Havana,-18000,UTC-05:00,CST,Cuba Standard Time
America/Hermosillo,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Indiana/Indianapolis,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Knox,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Indiana/Marengo,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Petersburg,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Tell_City,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Indiana/Vevay,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Vincennes,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Indiana/Winamac,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Inuvik,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Iqaluit,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Jamaica,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Juneau,-32400,UTC-09:00,AKST,Alaska Standard Time
America/Kentucky/Louisville,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Kentucky/Monticello,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/La_Paz,-14400,UTC-04:00,BOT,Bolivia Time
America/Lima,-18000,UTC-05:00,PET,Peru Time
America/Los_Angeles,-28800,UTC-08:00,PST,Pacific Standard Time (North America)
America/Maceio,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Managua,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Manaus,-14400,UTC-04:00,AMT,Amazon Time (Brazil)
America/Marigot,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Martinique,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Matamoros,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Mazatlan,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Menominee,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Merida,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Metlakatla,-32400,UTC-09:00,AKST,Alaska Standard Time
America/Mexico_City,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Miquelon,-10800,UTC-03:00,PMDT,Pierre & Miquelon Daylight Time
America/Moncton,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Monterrey,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Montevideo,-10800,UTC-03:00,UYT,Uruguay Standard Time
America/Montserrat,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Nassau,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/New_York,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Nipigon,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Nome,-32400,UTC-09:00,AKST,Alaska Standard Time
America/Noronha,-7200,UTC-02:00,FNT,Fernando de Noronha Time
America/North_Dakota/Beulah,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/North_Dakota/Center,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/North_Dakota/New_Salem,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Nuuk,-10800,UTC-03:00,WGT,West Greenland Time
America/Ojinaga,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Panama,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Pangnirtung,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Paramaribo,-10800,UTC-03:00,SRT,Suriname Time
America/Phoenix,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Port_of_Spain,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Port-au-Prince,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Porto_Velho,-14400,UTC-04:00,AMT,Amazon Time (Brazil)
America/Puerto_Rico,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Punta_Arenas,-10800,UTC-03:00,CLST,Chile Summer Time
America/Rainy_River,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Rankin_Inlet,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Recife,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Regina,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Resolute,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Rio_Branco,-18000,UTC-05:00,ACT,Acre Time
America/Santarem,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Santiago,-10800,UTC-03:00,CLST,Chile Summer Time
America/Santo_Domingo,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Sao_Paulo,-10800,UTC-03:00,BRT,Bras\u00edlia Time
America/Scoresbysund,-3600,UTC-01:00,EGT,Eastern Greenland Time
America/Sitka,-32400,UTC-09:00,AKST,Alaska Standard Time
America/St_Barthelemy,-14400,UTC-04:00,AST,Atlantic Standard Time
America/St_Johns,-12600,UTC-03:30,NST,Newfoundland Standard Time
America/St_Kitts,-14400,UTC-04:00,AST,Atlantic Standard Time
America/St_Lucia,-14400,UTC-04:00,AST,Atlantic Standard Time
America/St_Thomas,-14400,UTC-04:00,AST,Atlantic Standard Time
America/St_Vincent,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Swift_Current,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Tegucigalpa,-21600,UTC-06:00,CST,Central Standard Time (North America)
America/Thule,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Thunder_Bay,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Tijuana,-28800,UTC-08:00,PST,Pacific Standard Time (North America)
America/Toronto,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
America/Tortola,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Vancouver,-28800,UTC-08:00,PST,Pacific Standard Time (North America)
America/Whitehorse,-25200,UTC-07:00,MST,Mountain Standard Time (North America)
America/Winnipeg,-21600,UTC-06:00,CST,Central Standard Time (North America)
